2Dscore,3Dscore,active
0.526315789,1,1
0.526315789,1,0
0.685714286,0.999,0
0.531914894,0.999,1
0.685714286,0.998,1
0.428571429,0.998,1
0.428571429,0.998,1
0.428571429,0.998,1
0.428571429,0.998,1
0.393939394,0.998,0
0.2,0.998,1
0.054545455,0.998,0
0.054545455,0.998,0
0.454545455,0.997,0
0.454545455,0.997,1
0.222222222,0.997,0
0.04,0.997,0
0.8,0.996,1
0.8,0.996,0
0.152173913,0.996,0
0.152173913,0.996,0
0.151515152,0.996,0
0.151515152,0.996,0
0.571428571,0.995,1
0.571428571,0.995,1
0.375,0.995,0
0.228571429,0.995,0
0.531914894,0.994,0
0.260869565,0.994,1
0.234042553,0.994,1
0.234042553,0.994,0
0.214285714,0.994,1
0.333333333,0.993,1
0.222222222,0.993,0
0.2,0.993,0
0.2,0.993,0
0.090909091,0.993,0
0.090909091,0.993,0
0.464788732,0.992,1
0.464788732,0.992,0
0.068965517,0.992,0
0.052631579,0.992,0
0.052631579,0.992,0
0.422222222,0.991,1
0.422222222,0.991,0
0.375,0.991,0
0.261904762,0.991,0
0.222222222,0.991,0
0.625,0.99,1
0.625,0.99,0
0.454545455,0.99,1
0.454545455,0.99,0
0.379310345,0.99,1
0.379310345,0.99,1
0.25,0.99,0
0.169811321,0.99,1
0.169811321,0.99,0
0.162162162,0.99,0
0.148148148,0.99,1
0.148148148,0.99,0
0.1,0.99,0
0.1,0.99,0
0.379310345,0.989,1
0.379310345,0.989,1
0.288888889,0.989,1
0.288888889,0.989,0
0.208333333,0.989,0
0.208333333,0.989,0
0.027027027,0.989,0
0.379310345,0.988,0
0.379310345,0.988,0
0.288888889,0.988,0
0.288888889,0.988,0
0.261904762,0.988,0
0.186046512,0.988,0
0.166666667,0.988,0
0.071428571,0.988,0
0.642857143,0.987,1
0.636363636,0.987,1
0.571428571,0.987,0
0.571428571,0.987,0
0.463414634,0.987,0
0.463414634,0.987,0
0.24,0.987,1
0.24,0.987,0
0.214285714,0.987,0
0.31,0.986,0
0.275,0.986,0
0.041666667,0.986,0
0.650793651,0.985,0
0.428571429,0.985,1
0.419354839,0.985,1
0.419354839,0.985,0
0.419354839,0.985,0
0.419354839,0.985,0
0.414634146,0.985,0
0.414634146,0.985,0
0.379310345,0.985,1
0.379310345,0.985,1
0.306122449,0.985,0
0.222222222,0.985,0
0.204545455,0.985,0
0.204545455,0.985,0
0.2,0.985,0
0.147540984,0.985,0
0.04,0.985,0
0.208333333,0.984,0
0.208333333,0.984,0
0.487179487,0.983,1
0.487179487,0.983,0
0.260869565,0.983,0
0.260869565,0.983,0
0.189189189,0.983,0
0.547619048,0.982,0
0.436619718,0.982,1
0.436619718,0.982,0
0.419354839,0.982,1
0.419354839,0.982,0
0.379310345,0.982,1
0.379310345,0.982,1
0.357142857,0.982,0
0.306122449,0.982,1
0.245283019,0.982,1
0.195652174,0.982,0
0.113207547,0.982,0
0.113207547,0.982,0
0.037037037,0.982,0
0.571428571,0.981,0
0.571428571,0.981,0
0.565217391,0.981,1
0.565217391,0.981,0
0.228571429,0.981,0
0.212121212,0.981,0
0.2,0.981,0
0.177777778,0.981,0
0.170731707,0.981,0
0.08,0.981,0
0.08,0.981,0
0.5,0.98,0
0.5,0.98,0
0.454545455,0.98,1
0.454545455,0.98,0
0.2,0.98,0
0.2,0.98,1
0.17,0.98,1
0.108433735,0.98,1
0.108433735,0.98,0
0.097560976,0.98,0
0.097560976,0.98,0
0.071428571,0.98,0
0.071428571,0.98,0
0.307692308,0.979,0
0.275,0.979,0
0.24,0.979,0
0.24,0.979,0
0.2,0.979,1
0.2,0.979,1
0.155555556,0.979,0
0.155555556,0.979,0
0.104166667,0.979,0
0.269230769,0.978,0
0.260869565,0.978,0
0.260869565,0.978,0
0.159090909,0.978,0
0.041666667,0.978,0
0.041666667,0.978,0
0.428571429,0.977,1
0.279069767,0.977,0
0.235294118,0.977,0
0.234042553,0.977,1
0.234042553,0.977,0
0.183673469,0.977,1
0.183673469,0.977,0
0.180327869,0.977,0
0.12244898,0.977,0
0.071428571,0.977,0
0.071428571,0.977,0
0.0625,0.977,0
0.02,0.977,0
0.02,0.977,0
0.019607843,0.977,0
0.019607843,0.977,0
0.448275862,0.976,1
0.357142857,0.976,0
0.357142857,0.976,0
0.333333333,0.976,0
0.333333333,0.976,0
0.269230769,0.976,0
0.025641026,0.976,0
0.547619048,0.975,0
0.19047619,0.975,0
0.111111111,0.975,0
0.243902439,0.974,0
0.145833333,0.974,0
0.02,0.974,0
0.02,0.974,0
0.019230769,0.974,0
0.419354839,0.973,1
0.419354839,0.973,0
0.176470588,0.973,0
0.133333333,0.973,0
0.133333333,0.973,0
0.132075472,0.973,0
0.052631579,0.973,0
0.052631579,0.973,0
0.05,0.973,0
0.652173913,0.972,1
0.652173913,0.972,1
0.636363636,0.972,1
0.571428571,0.972,1
0.571428571,0.972,1
0.454545455,0.972,1
0.454545455,0.972,0
0.30952381,0.972,0
0.179487179,0.972,0
0.159090909,0.972,0
0.115384615,0.972,0
0.057692308,0.972,0
0.040816327,0.972,0
0.025641026,0.972,0
0.347826087,0.971,1
0.257142857,0.971,0
0.257142857,0.971,0
0.239130435,0.971,0
0.02173913,0.971,0
0.020408163,0.971,0
0.607142857,0.97,1
0.454545455,0.97,1
0.454545455,0.97,0
0.357142857,0.97,0
0.285714286,0.97,1
0.268292683,0.97,0
0.261904762,0.97,0
0.261904762,0.97,0
0.222222222,0.97,0
0.2,0.97,1
0.2,0.97,0
0.071428571,0.97,0
0.071428571,0.97,0
0.071428571,0.97,0
0.815384615,0.969,1
0.511627907,0.969,0
0.239130435,0.969,0
0.214285714,0.969,0
0.186046512,0.969,0
0.156862745,0.969,0
0.06,0.969,0
0.06,0.969,0
0.55,0.968,1
0.55,0.968,0
0.466666667,0.968,1
0.466666667,0.968,0
0.454545455,0.968,0
0.454545455,0.968,1
0.42,0.968,1
0.42,0.968,0
0.379310345,0.968,0
0.379310345,0.968,0
0.357142857,0.968,0
0.307692308,0.968,0
0.540540541,0.967,1
0.540540541,0.967,0
0.379310345,0.967,0
0.379310345,0.967,0
0.347826087,0.967,1
0.347826087,0.967,0
0.288888889,0.967,0
0.288888889,0.967,0
0.233333333,0.967,0
0.222222222,0.967,0
0.037037037,0.967,0
0.720930233,0.966,1
0.720930233,0.966,0
0.48,0.966,1
0.419354839,0.966,1
0.419354839,0.966,0
0.204545455,0.966,0
0.183673469,0.966,0
0.183673469,0.966,0
0.019607843,0.966,0
0.019607843,0.966,0
0.019607843,0.966,0
0.019607843,0.966,0
0.019230769,0.966,0
0.019230769,0.966,0
0.377358491,0.965,1
0.377358491,0.965,0
0.272727273,0.965,0
0.257575758,0.965,0
0.243902439,0.965,0
0.243902439,0.965,0
0.224489796,0.965,0
0.15,0.965,0
0.148148148,0.965,0
0.090909091,0.965,0
0.048387097,0.965,0
0.048387097,0.965,0
0.039215686,0.965,0
0.02,0.965,0
0.31372549,0.964,0
0.2,0.964,0
0.2,0.964,0
0.195652174,0.964,0
0.027027027,0.964,0
0.815384615,0.963,0
0.393939394,0.963,1
0.375,0.963,1
0.375,0.963,0
0.24,0.963,0
0.222222222,0.963,0
0.222222222,0.963,0
0.212765957,0.963,0
0.157894737,0.963,1
0.157894737,0.963,0
0.142857143,0.963,0
0.142857143,0.963,0
0.025641026,0.963,0
0.025641026,0.963,0
0.551724138,0.962,1
0.551724138,0.962,0
0.379310345,0.962,1
0.379310345,0.962,1
0.347826087,0.962,0
0.177777778,0.962,0
0.133333333,0.962,0
0.131578947,0.962,0
0.083333333,0.962,0
0.081967213,0.962,0
0.051282051,0.962,0
0.04,0.962,0
0.018518519,0.962,0
0.348837209,0.961,0
0.348837209,0.961,0
0.288135593,0.961,0
0.260869565,0.961,0
0.260869565,0.961,0
0.235294118,0.961,0
0.214285714,0.961,0
0.2,0.961,0
0.2,0.961,1
0.15,0.961,0
0.15,0.961,0
0.096774194,0.961,0
0.096774194,0.961,0
0.037037037,0.961,0
0.037037037,0.961,0
0.025641026,0.961,1
0.025641026,0.961,1
0.023255814,0.961,0
0.538461538,0.96,1
0.35483871,0.96,1
0.35483871,0.96,1
0.322580645,0.96,0
0.285714286,0.96,0
0.23255814,0.96,0
0.176470588,0.96,0
0.17,0.96,0
0.132075472,0.96,0
0.093023256,0.96,0
0.04,0.96,0
0.04,0.96,0
0.019607843,0.96,0
0.019607843,0.96,0
0.545454545,0.959,1
0.545454545,0.959,0
0.492957746,0.959,1
0.492957746,0.959,0
0.421686747,0.959,0
0.333333333,0.959,0
0.333333333,0.959,0
0.224489796,0.959,1
0.212121212,0.959,0
0.212121212,0.959,0
0.194444444,0.959,1
0.194444444,0.959,0
0.157894737,0.959,1
0.157894737,0.959,1
0.156862745,0.959,0
0.058823529,0.959,0
0.058823529,0.959,0
0.04,0.959,0
0.692307692,0.958,1
0.692307692,0.958,1
0.275,0.958,0
0.275,0.958,0
0.272727273,0.958,0
0.257142857,0.958,0
0.257142857,0.958,1
0.257142857,0.958,0
0.176470588,0.958,0
0.176470588,0.958,0
0.176470588,0.958,0
0.153846154,0.958,0
0.24,0.957,0
0.24,0.957,0
0.225,0.957,0
0.169811321,0.957,0
0.142857143,0.957,0
0.642857143,0.956,0
0.607142857,0.956,1
0.52173913,0.956,1
0.52173913,0.956,0
0.448275862,0.956,1
0.37037037,0.956,1
0.345454545,0.956,1
0.243902439,0.956,0
0.195121951,0.956,0
0.181818182,0.956,0
0.181818182,0.956,0
0.159090909,0.956,0
0.145833333,0.956,0
0.102564103,0.956,0
0.041666667,0.956,0
0.6,0.955,1
0.454545455,0.955,1
0.454545455,0.955,0
0.260869565,0.955,0
0.243902439,0.955,0
0.204545455,0.955,0
0.204545455,0.955,0
0.176470588,0.955,0
0.145833333,0.955,0
0.130434783,0.955,0
0.130434783,0.955,0
0.087719298,0.955,0
0.087719298,0.955,0
0.507246377,0.954,1
0.507246377,0.954,0
0.37037037,0.954,0
0.333333333,0.954,0
0.333333333,0.954,0
