2Dscore,3Dscore,active
0.028571429,0,0
0.181818182,0,0
0.08,0,0
0.454545455,0,0
0.066666667,0,0
0.068965517,0,0
0.086956522,0,0
0.2,0,1
0.04,0,1
0.076923077,0,0
0.034482759,0,0
0.04,0,0
0.074074074,0,0
0.045454545,0,0
0.041666667,0,0
0.090909091,0,0
0.333333333,0,0
0.04,0,0
0.076923077,0,0
0.034482759,0,0
0.04,0,0
0.035714286,0,0
0.045454545,0,0
0.131578947,0,0
0.090909091,0,0
0.034482759,0,0
0.076923077,0,0
0.034482759,0,0
0.037037037,0,0
0.157894737,0,0
0.023809524,0,0
0.037037037,0,0
0.034482759,0,0
0.041666667,0,0
0.157894737,0,0
0.15,0,0
0.205882353,0,0
0.023809524,0,0
0.046511628,0,0
0.025641026,0,0
0.323529412,0,0
0.236842105,0,0
0.03125,0,0
0.257142857,0,0
0.086956522,0,0
0.032258065,0,0
0.03125,0,0
0.086956522,0,0
0.032258065,0,0
0.029411765,0,0
0.076923077,0,0
0.03125,0,0
0,0,0
0,0,0
0,0,0
0.022222222,0,0
0,0,0
0.05,0,0
0.025641026,0,0
0,0,0
0.023255814,0,0
0,0,0
0,0,0
0.019230769,0,0
0,0,0
0.032258065,0,0
0.214285714,0,0
0.075471698,0,0
0.078431373,0,0
0.078431373,0,0
0.068965517,0,0
0.071428571,0,0
0.033333333,0,0
0.074074074,0,0
0.102040816,0,0
0.035714286,0,0
0.035714286,0,0
0.093023256,0,0
0.068181818,0,0
0.071428571,0,0
0.035714286,0,0
0.03030303,0,0
0.105263158,0,0
0.035714286,0,0
0.03125,0,0
0.102040816,0,0
0.032258065,0,0
0.076923077,0,0
0.102040816,0,0
0.15625,0,0
0.0625,0,0
0.020833333,0,0
0.125,0,0
0.175438596,0,0
0.140350877,0,0
0.058823529,0,0
0.087719298,0,0
0.019607843,0,0
0.107142857,0,0
0.142857143,0,1
0.166666667,0,0
0.066666667,0,0
0.037037037,0,0
0.05,0,0
0.066666667,0,0
0.034482759,0,0
0.027777778,0,0
0.034482759,0,0
0.117647059,0,0
0.08,0,0
0.034482759,0,0
0.047619048,0,0
0.071428571,0,0
0.05,0,0
0.0625,0,0
0.08,0,0
0.034482759,0,0
0.333333333,0,0
0.243243243,0,0
0.333333333,0,0
0.037037037,0,0
0.333333333,0,0
0.03125,0,0
0.023255814,0,0
0.032258065,0,0
0.054054054,0,0
0.05,0,0
0.066666667,0,0
0.103448276,0,0
0.034482759,0,0
0.027777778,0,0
0.034482759,0,0
0.461538462,0,0
0.166666667,0,0
0.025641026,0,0
0.047619048,0,0
0.034482759,0,0
0.058823529,0,0
0.05,0,0
0.054054054,0,0
0.0625,0,0
0.054054054,0,0
0.076923077,0,0
0.015151515,0,0
0.027777778,0,0
0.04,0,0
0.037037037,0,0
0.090909091,0,0
0.025641026,0,0
0.333333333,0,1
0.034482759,0,0
0.034482759,0,0
0.037037037,0,0
0.029411765,0,0
0.090909091,0,1
0.037037037,0,0
0.0625,0,0
0.086956522,0,0
0.090909091,0,0
0.027027027,0,0
0.024390244,0,0
0.076923077,0,0
0.066666667,0,0
0.025641026,0,0
0.027777778,0,0
0.071428571,0,0
0.027777778,0,0
0.104761905,0,0
0.106796117,0,0
0.01980198,0,0
0.026315789,0,0
0.037037037,0,0
0.032258065,0,0
0.066666667,0,0
0.034482759,0,0
0.357142857,0,0
0.038461538,0,0
0.076923077,0,0
0.034482759,0,0
0.058823529,0,0
0.026315789,0,0
0.0625,0,0
0.038461538,0,0
0.026315789,0,0
0.072727273,0,0
0.164383562,0,0
0.169014085,0,0
0.028571429,0,0
0.014492754,0,0
0.195652174,0,0
0.177777778,0,0
0.2,0,0
