2Dscore,3Dscore,active,
0.0285714285714,0.176,0,
0.030303030303,0.0935,0,
0.0625,0.000363,0,
0.146341463415,0.0114,0,
0.030303030303,0.0716,0,
0.030303030303,0.175,0,
0.170731707317,0.564,1,
0.0285714285714,0.0,0,
0.181818181818,0.0,0,
0.170731707317,0.371,0,
0.02,0.00694,0,
0.136363636364,0.529,0,
0.184210526316,0.939,1,
0.166666666667,0.822,1,
0.0769230769231,0.212,0,
0.08,0.0,0,
0.166666666667,0.00372,1,
0.166666666667,0.0799,1,
0.037037037037,0.0184,0,
0.454545454545,0.0,0,
0.0666666666667,0.0,0,
0.037037037037,0.0169,0,
0.0689655172414,0.0,0,
0.0344827586207,0.455,1,
0.0416666666667,0.000464,0,
0.0909090909091,0.621,1,
0.0869565217391,0.0,0,
0.2,0.0,1,
0.2,0.034,1,
0.04,0.0,1,
0.0769230769231,0.0,0,
0.0344827586207,0.0,0,
0.04,0.0,0,
0.0740740740741,0.0,0,
0.037037037037,0.14,0,
0.0454545454545,0.0,0,
0.0416666666667,0.0,0,
0.0909090909091,0.0,0,
0.333333333333,0.0,0,
0.04,0.0,0,
0.0769230769231,0.0,0,
0.0344827586207,0.0,0,
0.04,0.0,0,
0.0357142857143,0.0,0,
0.037037037037,0.0291,0,
0.0454545454545,0.0,0,
0.0869565217391,0.391,0,
0.0869565217391,0.21,0,
0.147058823529,0.00134,0,
0.0384615384615,0.335,0,
0.131578947368,0.0,0,
0.147058823529,0.0162,0,
0.05,0.283,0,
0.138888888889,0.0117,0,
0.0909090909091,0.0,0,
0.2,0.623,1,
0.04,0.138,0,
0.0769230769231,na,0,
0.0344827586207,0.0,0,
0.04,0.0607,0,
0.0740740740741,0.0526,0,
0.037037037037,0.0874,0,
0.0454545454545,na,0,
0.04,0.113,0,
0.0769230769231,0.0,0,
0.0344827586207,0.0,0,
0.04,0.166,0,
0.0740740740741,0.00588,0,
0.037037037037,0.0948,0,
0.0454545454545,0.127,0,
0.037037037037,0.0,0,
0.157894736842,0.0,0,
0.428571428571,0.544,0,
0.0238095238095,0.0,0,
0.272727272727,0.141,0,
0.233333333333,0.664,1,
0.103448275862,0.0189,0,
0.037037037037,0.0,0,
0.0333333333333,0.527,0,
0.0344827586207,0.0,0,
0.0416666666667,0.0,0,
0.157894736842,0.0,0,
0.0217391304348,0.219,0,
0.15,0.0,0,
0.205882352941,0.0,0,
0.0238095238095,0.0,0,
0.354838709677,0.0717,0,
0.233333333333,0.528,0,
0.046511627907,0.0,0,
0.025641025641,0.0,0,
0.114285714286,0.322,0,
0.114285714286,0.0979,0,
0.323529411765,0.0,0,
0.21875,0.244,0,
0.236842105263,0.0,0,
0.03125,0.0,0,
