target,0.01,0.05,0.13,0.01,0.05,0.13,0.2,0.5,
Q3JRA0,0.0,0.0,5.05555555556,0.0,0.0,0.0,
P80457,3.94202898551,1.68944099379,1.01366459627,3.94202898551,1.68944099379,1.68944099379,
P08581,5.74879227053,3.16183574879,2.67040673212,1.43719806763,1.72463768116,1.89153810192,
P16184,10.7368421053,8.58947368421,5.23421052632,5.36842105263,6.44210526316,3.22105263158,
P24182,2.81944444444,3.85094850949,2.5534591195,2.81944444444,2.20054200542,1.70230607966,
Q08499,0.0,0.898081023454,0.575692963753,0.748400852878,0.449040511727,0.460554371002,
P11309,4.80442804428,2.88265682657,2.95075108231,0.369571388022,2.21742832813,1.81584681989,
P42330,18.5714285714,13.7878787879,6.11764705882,0.0,3.93939393939,3.05882352941,
P45452,2.72255834054,2.3595505618,1.55385036996,2.72255834054,0.786516853933,0.863250205536,
P00509,8.66666666667,2.16666666667,3.46666666667,8.66666666667,6.5,4.33333333333,
